id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video,profile_image_url,,,
1.07235941084291E+018,1.0723588334551E+018,1544505381000,2018-12-11,12:16:21,WIB,1.05138143166493E+018,meliness_id,Meliness Campaign,,"Kondisi jiwa ini dapat menyebabkan rusaknya hubungan pribadi, rendahnya motivasi dan produktivitas di tempat kerja, dan yang lebih buruk lagi dapat menyebabkan perasaan ingin melakukan bunuh diri.",,[],[],1,1,0,,[],https://twitter.com/Meliness_ID/status/1072359410842910720,,,0,https://pbs.twimg.com/profile_images/1051382094121717760/ZDvnsxOM.jpg,,,
1.07233636812526E+018,1.07233636554577E+018,1544499887000,2018-12-11,10:44:47,WIB,2840272358,rfqpp,🦄,,"Teman-teman LGBT memiliki resiko bunuh diri yang jauh lebih besar dibandingkan orang-orang heteroseksual. Tidak sedikit dari mereka yang depresi dan ingin mati karena perbedaan mereka. Lalu haruskah kita menambah beban mereka dengan menghina, menghakimi dan merendahkan mereka.",,[],[],1,0,0,,[],https://twitter.com/rfqpp/status/1072336368125263872,,,0,https://pbs.twimg.com/profile_images/1122106450778574848/9dWtbmsv.jpg,,,
1.07228437666099E+018,1.07228437666099E+018,1544487492000,2018-12-11,07:18:12,WIB,148694563,nakita_id,Nakita ID,,Billy Syahputra Sebut Kriss Hatta Ingin Bunuh Diri Saat Putus dari Hilda Vitria  http://nakita.grid.id/read/021261438/billy-syahputra-sebut-kriss-hatta-ingin-bunuh-diri-saat-putus-dari-hilda-vitria …,,['http://nakita.grid.id/read/021261438/billy-syahputra-sebut-kriss-hatta-ingin-bunuh-diri-saat-putus-dari-hilda-vitria'],[],0,0,0,,[],https://twitter.com/Nakita_ID/status/1072284376660987904,,,0,https://pbs.twimg.com/profile_images/937908929081704450/fNGWmS3X.jpg,,,
1.07207111396487E+018,1.07207111396487E+018,1544436646000,2018-12-10,17:10:46,WIB,1.07141668864874E+018,malikk______,Zaen,,Mengapa masih banyak orang bunuh diri padahal aku ingin hidup :'(,,[],[],0,0,0,,[],https://twitter.com/malikk______/status/1072071113964871680,,,0,https://pbs.twimg.com/profile_images/1071816799912521728/ZpF5edF5.jpg,,,
1.07206552454302E+018,1.07206552454302E+018,1544435313000,2018-12-10,16:48:33,WIB,1274102731,fahrunn_,f,,"Untuk apa kamu menyerah dan ingin bunuh diri?. Hei ingat, paling lama kekasihmu hanya akan merasa kehilangan dalam kurun waktu 3 minggu. Setelah itu jasadmu akan terganti dengan ia yang baru",,[],[],2,0,1,,[],https://twitter.com/fahrunn_/status/1072065524543016960,,,0,https://pbs.twimg.com/profile_images/1064788516880605184/misINTU4.jpg,,,
1.07203831900397E+018,1.07203831900397E+018,1544428827000,2018-12-10,15:00:27,WIB,8.27415222822384E+017,beelzebeub,Ezio,,Korsel punya cara unik untuk mengurangi kejadian bunuh diri. Pusat pengobatan di Seoul memiliki kelas untuk mereka yang ingin merasakan pengalaman mati. Peserta diminta menulis wasiat & masuk ke peti.  http://tirto.id/cD7C  (via Twitter  https://twitter.com/TirtoID/status/1071857014958022656 …) pic.twitter.com/EEejGhzmcE,,"['http://tirto.id/cD7C', 'https://twitter.com/TirtoID/status/1071857014958022656']",['https://pbs.twimg.com/media/DuClK8XWwAAeflC.jpg'],0,0,0,,[],https://twitter.com/Beelzebeub/status/1072038319003967488,,,0,https://pbs.twimg.com/profile_images/1105877920671719424/Kxq-3Dld.jpg,,,
1.07197500530142E+018,1.07197500530142E+018,1544413732000,2018-12-10,10:48:52,WIB,9.71962782093517E+017,whileyallhere,▫,,saya ingin bunuh diri,,[],[],0,0,0,,[],https://twitter.com/whileyallhere/status/1071975005301424128,,,0,https://pbs.twimg.com/profile_images/1087496986645983243/Ib4VFyET.jpg,,,
1.12757879295894E+018,1.12757878317358E+018,1557670708000,2019-05-12,21:18:28,WIB,192853381,pratamaputra362,Pratama A Putra,,"lalu manusia ditugaskan bunuh diri sebab itu adalah tugas moral setiap orang. seseorang bisa melakukannya dengan gembira, menaiki atas gedung lalu lompat dari atap dan pastikan menjatuhi bedebah sesamamu yg rakus. seperti itukah yg ingin kau dengar?",,[],[],1,0,0,,[],https://twitter.com/pratamaputra362/status/1127578792958939136,,,0,https://pbs.twimg.com/profile_images/378800000783141022/fc33d2dce72678ad69724e795e5a181f.jpeg,,,
1.12755954609895E+018,1.1275566935361E+018,1557666119000,2019-05-12,20:01:59,WIB,517178156,raeynzhi,Z H I A 🐼,,Kadang gue mikirin biaya tahun ini rasanya otak ingin meledak. Tapi berusaha dibawa santai. Dan tadi begitu dia nyalahin gue karena dianggap pelit.  Kalau gue ngga kuat iman. Rasanya udah mau bunuh diri ketika dihadapkan soal duit!,,[],[],1,0,1,,[],https://twitter.com/Raeynzhi/status/1127559546098950145,,,0,https://pbs.twimg.com/profile_images/1127518196720779266/_HU7v7_g.jpg,,,
1.12753400144122E+018,1.1275162306114E+018,1557660029000,2019-05-12,18:20:29,WIB,9.93384117063508E+017,lenoirsena,i’d wife me,,"Jadi sekarang, kalau gw ingin mati, gw selalu inget kalau ada seorang manusia sialan yang pernah bilang secara gamblang bahwa kalau gw sengaja bunuh diri, maka kematian gw akan menjadi suatu kesia-siaan yang mutlak. Dan emang bener, sih.",,[],[],1,0,0,,[],https://twitter.com/lenoirsena/status/1127534001441218560,,,0,https://pbs.twimg.com/profile_images/1121447616410075137/mJhe9DDO.jpg,,,
